position	COMBINED_rate(cM/Mb)	Genetic_Map(cM)
147551	0.351661075	0
159673	0.041462242	0.000502605
239176	5.71E+00	0.000507148
243133	0.049107926	0.000701468
244316	0.105586139	0.000826376
244619	0.923010977	0.001106048
244664	2.858.258.538	0.00123467
244975	3.495.881.519	0.012106861
278981	0.703200031	0.036019882
279074	3.728.906.973	0.039487765
283159	0.77272381	0.042644342
441721	0.105933952	0.059441441
459353	0.007981496	0.059582171
502211	0.271094642	0.071200745
530723	0.214113024	0.077305536
823935	0.001817812	0.07783854
823953	5.580.553.404	0.07884304
1293616	0.004643842	0.081024081
1324476	0.033669077	0.082063108
1511064	0.003649717	0.082744102
1651575	0.006497635	0.083657091
1882025	0.005882908	0.085012807
1882622	9.509.999.586	0.090690277
1951258	0.004897891	0.091026448
1972560	0.026183583	0.091584211
2179315	0.002970397	0.092198356
2217453	0.023373406	0.093089771
2714440	0.002122899	0.094144824
2717971	0.460879961	0.095772191
3089924	0.000335079	0.095896825
3145554	0.002205336	0.096019508
3547410	0.001871415	0.096771547
3549361	0.347704218	0.097449918
3553557	0.017745347	0.097524378
3553571	812.864.799	0.097638179
3746948	0.003794916	0.098372028
3749168	0.258340153	0.098945543
3749334	0.494579785	0.099027643
3750917	0.029395541	0.099074177
3879544	0.001032723	0.099207013
3879621	1.262.848.042	0.099304252
3921415	0.001066227	0.099348814
3921843	0.224524659	0.09944491
3928921	0.015707853	0.099556091
3928951	1.902.934.337	0.100126971
4018650	0.001707667	0.100280147
4042518	0.000919723	0.100302099
4043933	0.104299199	0.100449682
4189099	0.000113467	0.100466154
4899142	0.002787616	0.102445481
4906660	0.011136177	0.102529203
5258241	0.000825109	0.102819295
5258697	0.040585471	0.102837802
5379440	0.002206113	0.103104175
6100997	0.000148395	0.10321125
6355589	0.018579313	0.107941395
6518553	0.068979544	0.119182577
6546672	0.028637222	0.119987827
6701031	0.001027864	0.120146487
7869975	0.000543841	0.120782207
8030835	0.000592943	0.120877587
8063612	0.004604426	0.121028507
8302371	0.001022806	0.121272711
8519787	0.002175947	0.121745796
8556175	0.005726319	0.121954166
8593980	0.018261639	0.122644547
9018198	0.000646227	0.122918688
9131605	0.000402282	0.12296431
9518067	0.000670288	0.123223351
9550446	0.000319989	0.123233711
9753263	0.000242838	0.123282963
10128013	0.000884747	0.123614522
10524987	8.15E+00	0.123646869
10527050	0.142168373	0.123940162
10674592	0.00068392	0.124041069
10674668	1.232.880.088	0.124978058
10694804	0.037893565	0.125741083
11740934	0.002849113	0.128721626
11741117	2.225.191.872	0.129128836
12034745	0.002289144	0.129800993
12654160	0.000582612	0.130161871
12655349	0.105108645	0.130286845
12834376	0.001119262	0.130487223
13152409	0.000478397	0.130639369
13248515	0.000386615	0.130676525
13270182	0.00496386	0.130784077
13270208	1.035.582.749	0.130811002
13271474	0.0326572	0.130852346
13617956	0.000170758	0.130911511
14219727	0.000378462	0.131139259
14931696	7.99E+00	0.131196155
15695850	0.000241048	0.131380354
18919522	4.38E-02	0.131394468
19181173	0.000123199	0.131426703
20336319	4.88E+00	0.131483119
20487184	7.22E+00	0.131494009
20492079	0.030180062	0.131641741
20520046	0.001608407	0.131686723
21328580	0.00035079	0.131970348
21708079	2.37E+00	0.131979345
22135725	9.47E+00	0.132019842
22137399	0.006015991	0.132029913
22237923	2.13E+00	0.132032056
22905890	1.19E+00	0.132039984
24386302	1.74E+00	0.132065696
24386805	0.04103611	0.132086338
24386878	0.088824218	0.132092822
25841735	7.33E-01	0.13210349
25904593	5.89E+00	0.132107191
26423442	7.41E-01	0.132111034
27416459	7.99E-01	0.132118969
28906171	2.37E-03	0.132119004
30582910	3.97E-01	0.132125669
32522905	5.51E+00	0.132232499
35283808	2.13E-01	0.132238378
35653078	0.000958586	0.132592355
35653224	184.543.219	0.135286686
35675934	0.033830991	0.136054988
38537950	3.00E+00	0.136140964
39794642	7.65E+00	0.136237088
40125403	0.000454895	0.136387549
40126341	0.13731131	0.136516347
40126394	6.064.331.631	0.136837757
40126773	0.034356387	0.136850778
40126787	146.271.443	0.137055558
40364032	0.000499435	0.137174047
40655145	0.001354595	0.137568387
42295148	0.000103235	0.137737692
43525699	0.000330571	0.138144477
43554547	0.024592518	0.138853922
45433626	0.001323363	0.141340625
45972706	0.000806583	0.141775438
46657785	0.00044866	0.142082806
47233586	0.000456909	0.142345895
48732241	1.51E+00	0.142368576
48851340	9.65E+00	0.142380075
49624425	0.000134581	0.142484117
49624443	0.129090872	0.142486441
49625274	0.031028567	0.142512225
49625421	0.013278866	0.142514177
49660431	0.004655372	0.142677162
49994628	5.32E+00	0.142694934
50137237	0.000190643	0.142722121
50382217	9.75E+00	0.142745996
50382493	0.102543203	0.142774298
50389681	0.03979577	0.14306035
50896643	0.000486063	0.143306765
51251244	0.001039647	0.143675425
51728044	2.56E+00	0.143687647
51732789	0.006769017	0.143719766
51885239	0.000145306	0.143741918
51886194	0.075523051	0.143814043
51908158	0.008347853	0.143997395
51931824	0.000208039	0.144002318
51963149	0.426661634	0.157367494
51963155	2.870.375.077	0.174589744
52418813	0.002051279	0.175524426
53052450	0.000877676	0.176080554
53190167	0.005407472	0.176825255
53304636	0.000168967	0.176844597
53642804	0.001533728	0.177363254
53690152	0.025980855	0.178593396
53792656	0.000412751	0.178635705
53792920	1.019.490.462	0.17890485
53793312	2.300.743.681	0.179806742
53793893	0.071636172	0.179848362
53797808	0.028488986	0.179959897
54173482	0.001694313	0.180596406
54542074	0.018162707	0.187291034
54727971	0.000354982	0.187357024
55185507	0.003190728	0.188816897
55185750	22.112.974	0.19419035
55216911	0.085431581	0.196852483
55220113	0.159506204	0.197363222
55312422	0.002189363	0.19756532
55428946	0.005331009	0.198186511
55723634	0.000535362	0.198344276
55762243	0.001022959	0.198383771
56454935	0.00103224	0.199098796
56571580	0.010759006	0.20035378
56876911	0.003844596	0.201527654
56878727	0.506930056	0.202448239
57275631	0.001073556	0.202874338
57276056	0.221981154	0.20296868
57349369	0.027811089	0.205007594
57468123	0.010910637	0.206303276
57468357	2.613.326.601	0.206914795
57705706	0.00302173	0.207631999
58047558	0.002833931	0.208600784
59132286	0.002382348	0.211184984
59271203	0.03251432	0.215701775
59371505	0.000802888	0.215782307
59566196	0.031498761	0.221914832
59870038	0.001997153	0.222521651
59872236	0.28936219	0.223157669
60026026	0.027144659	0.227332246
60305946	0.002031628	0.22790094
60306388	0.246235393	0.228009776
60307321	0.1074278	0.228110006
60477931	2.56E+00	0.228114376
60707179	8.30E-01	0.228116278
60753284	0.001745348	0.228196747
60754698	0.299206187	0.228619825
60754928	2.072.986.499	0.229096612
60814804	0.006452568	0.229482966
60816800	0.468000819	0.230417095
61027001	0.001426137	0.230716871
61060537	0.017752766	0.231312228
61086761	0.009357084	0.231557608
61141829	0.000980514	0.231611603
