position	COMBINED_rate(cM/Mb)	Genetic_Map(cM)
65263	0.351661075	0
65287	2.094.188.751	0.000502605
65301	0.324444594	0.000507148
71198	0.032952359	0.000701468
71209	1.135.530.935	0.000826376
71220	2.542.475.692	0.001106048
71771	0.233433093	0.00123467
159426	0.1240339	0.012106861
190926	0.759143501	0.036019882
324941	0.025876831	0.039487765
325030	3.546.715.465	0.042644342
388873	0.263100094	0.059441441
389040	0.842693036	0.059582171
389174	8.670.577.722	0.071200745
389266	6.635.641.899	0.077305536
391001	0.307207077	0.07783854
391031	3.348.332.043	0.07884304
412134	0.103352173	0.081024081
694091	0.003685057	0.082063108
694151	1.134.989.086	0.082744102
694355	447.543.731	0.083657091
694469	1.189.224.722	0.085012807
694521	1.091.821.106	0.090690277
694541	1.680.858.251	0.091026448
694653	4.980.024.065	0.091584211
703580	0.068796294	0.092198356
705671	0.426310355	0.093089771
705734	1.674.687.889	0.094144824
1041105	0.004852438	0.095772191
1091964	0.002450575	0.095896825
1400727	0.000397337	0.096019508
1408684	0.094512922	0.096771547
1413720	0.134704315	0.097449918
1413732	6.204.956.179	0.097524378
1413816	1.354.774.665	0.097638179
1413897	9.059.870.394	0.098372028
1413918	2.731.024.473	0.098945543
1413945	3.040.749.788	0.099027643
1414020	0.620441894	0.099074177
1438051	0.005527698	0.099207013
1438486	0.223538619	0.099304252
1438693	0.215274762	0.099348814
1505540	0.00143756	0.09944491
1596529	0.001221908	0.099556091
1847520	0.002274505	0.100126971
1847556	4.254.888.835	0.100280147
1847677	0.181421102	0.100302099
1853441	0.025604331	0.100449682
1902218	0.000337692	0.100466154
1957512	0.03579642	0.102445481
1996437	0.002150849	0.102529203
1997209	0.375767504	0.102819295
2037634	0.00045781	0.102837802
2149871	0.002373306	0.103104175
2214471	0.001657509	0.10321125
2261237	0.101144941	0.107941395
2288291	0.415509068	0.119182577
3708760	0.00056689	0.119987827
3709723	0.164756008	0.120146487
3710249	1.208.592.375	0.120782207
4041510	0.000287932	0.120877587
4279075	0.000635276	0.121028507
4434048	0.001575785	0.121272711
4906728	0.001000858	0.121745796
5050162	0.001452719	0.121954166
5051710	0.445982737	0.122644547
5051766	4.895.379.953	0.122918688
5052466	0.065173635	0.12296431
5053838	0.188805275	0.123223351
5053932	0.110222634	0.123233711
5055627	0.029057037	0.123282963
5055763	2.437.934.537	0.123614522
5055948	0.174847076	0.123646869
5055959	2.666.303.216	0.123940162
5368339	0.000323026	0.124041069
5506532	0.006780292	0.124978058
5573355	0.011418596	0.125741083
5574612	2.371.155.788	0.128721626
5574733	3.365.372.832	0.129128836
5692751	0.005695375	0.129800993
5692769	2.004.879.836	0.130161871
5692904	0.92573466	0.130286845
5692913	2.226.422.595	0.130487223
5693667	0.20178507	0.130639369
5693690	1.615.479.532	0.130676525
5921198	0.000472739	0.130784077
5926421	0.005155112	0.130811002
5932020	0.007384178	0.130852346
5932061	1.443.039.872	0.130911511
5946439	0.015840007	0.131139259
5946481	1.354.686.059	0.131196155
5946946	0.396125024	0.131380354
5967825	0.000675999	0.131394468
5972364	0.007101825	0.131426703
5972404	1.410.400.277	0.131483119
6147926	6.20E+00	0.131494009
6204099	0.002629936	0.131641741
6354190	0.0002997	0.131686723
6395068	0.006938337	0.131970348
6395149	0.111067451	0.131979345
6397015	0.021702759	0.132019842
6397142	0.079297394	0.132029913
6567537	1.26E-01	0.132032056
6625026	0.000137906	0.132039984
6626727	0.015116168	0.132065696
6772274	0.000141818	0.132086338
6965234	3.36E+00	0.132092822
7200278	4.54E+00	0.13210349
7332437	2.80E+00	0.132107191
7547043	1.79E+00	0.132111034
7675049	6.20E+00	0.132118969
7717307	8.34E-02	0.132119004
7741542	0.000275006	0.132125669
7752975	0.009344043	0.132232499
8139333	1.52E+00	0.132238378
8139557	1.580.253.953	0.132592355
8166198	0.101134755	0.135286686
8166228	2.561.005.987	0.136054988
8224735	0.001469503	0.136140964
8660304	0.000220686	0.136237088
8809052	0.001011521	0.136387549
9273361	0.000277397	0.136516347
