position	COMBINED_rate(cM/Mb)	Genetic_Map(cM)
139451	0.351661075	0
339062	0.002517924	0.000502605
339749	0.00661168	0.000507148
565197	0.000861929	0.000701468
593933	0.004346757	0.000826376
706568	0.002482997	0.001106048
1674751	0.000132848	0.00123467
1759258	0.128654331	0.012106861
1779020	1.210.050.616	0.036019882
1861465	0.042062993	0.039487765
2091733	0.013708274	0.042644342
2218157	0.132863217	0.059441441
2345887	0.001101775	0.059582171
2351455	2.086.669.207	0.071200745
2352849	4.379.333.247	0.077305536
2353088	2.230.143.427	0.07783854
2353098	1.004.499.613	0.07884304
2354869	123.153.072	0.081024081
2356573	0.609758041	0.082063108
2356599	2.619.205.583	0.082744102
2357803	0.758296687	0.083657091
2375287	0.07754039	0.085012807
2468562	0.060868076	0.090690277
2487178	0.018058211	0.091026448
2487346	3.320.016.043	0.091584211
2532943	0.013468968	0.092198356
2660050	0.007013107	0.093089771
2666937	0.153194914	0.094144824
2741776	0.021744908	0.095772191
3340707	0.000208094	0.095896825
3569297	0.000536694	0.096019508
3608967	0.018957381	0.096771547
3785871	0.003834684	0.097449918
3789697	0.019461441	0.097524378
3791291	0.071393395	0.097638179
3821839	0.024022833	0.098372028
3823854	0.284622898	0.098945543
3830247	0.012842209	0.099027643
3908588	0.000593982	0.099074177
3970339	0.002151157	0.099207013
3988349	0.005399184	0.099304252
3991078	0.016329013	0.099348814
4043034	0.001849576	0.09944491
4159004	0.000958698	0.099556091
4449324	0.001966383	0.100126971
4606889	0.000972145	0.100280147
4622583	0.001398748	0.100302099
4622745	0.911008433	0.100449682
4662747	0.000411769	0.100466154
4663315	3.484.731.061	0.102445481
4663515	0.418608891	0.102529203
4816432	0.001897059	0.102819295
5026436	8.81E+00	0.102837802
5182178	0.001710346	0.103104175
5232221	0.002139662	0.10321125
5879492	0.007307827	0.107941395
5992298	0.099650571	0.119182577
6306500	0.002562842	0.119987827
6335907	0.005395315	0.120146487
6336014	5.941.304.572	0.120782207
6439438	0.00092223	0.120877587
6571951	0.001138902	0.121028507
14785936	2.97E+00	0.121272711
18124336	0.00014171	0.121745796
19895866	0.000117621	0.121954166
20101484	0.003357592	0.122644547
20334943	0.001174259	0.122918688
23430316	1.47E+00	0.12296431
23961414	0.000487746	0.123223351
27390323	3.02E-01	0.123233711
27650671	0.000189176	0.123282963
27698760	0.006894697	0.123614522
29642643	1.66E+00	0.123646869
29740160	0.003007613	0.123940162
29741129	0.104135174	0.124041069
30093997	0.002655352	0.124978058
30094746	1.018.724.729	0.125741083
30096205	2.042.866.913	0.128721626
30097412	0.337373747	0.129128836
30116697	0.034853864	0.129800993
32251718	0.000169028	0.130161871
32862744	0.000204532	0.130286845
33235473	0.000537597	0.130487223
33993379	0.000200745	0.130639369
34302921	0.000120036	0.130676525
38385178	2.63E+00	0.130784077
38722150	7.99E+00	0.130811002
38722264	0.362666801	0.130852346
39738068	5.82E+00	0.130911511
39751153	0.017405244	0.131139259
40653719	6.30E-01	0.131196155
42008529	0.000135959	0.131380354
42450489	3.19E+00	0.131394468
43600193	2.80E+00	0.131426703
44059940	0.000122711	0.131483119
44723084	1.64E+00	0.131494009
45025424	0.000488627	0.131641741
45169330	0.000312581	0.131686723
45169357	1.050.464.261	0.131970348
45274006	8.60E-01	0.131979345
45944624	6.04E+00	0.132019842
45944648	0.419615379	0.132029913
45945875	0.001746305	0.132032056
46377753	1.84E+00	0.132039984
46406260	0.000901975	0.132065696
46413142	0.002999297	0.132086338
46413187	0.144092621	0.132092822
46413302	0.092763318	0.13210349
46427765	0.000255899	0.132107191
46705264	1.39E+00	0.132111034
47108452	1.97E+00	0.132118969
47108897	7.92E+00	0.132119004
47109426	0.012598814	0.132125669
47116416	0.015283326	0.132232499
48020996	6.50E-01	0.132238378
48073593	0.006729982	0.132592355
48074905	2.053.605.943	0.135286686
48149384	0.010315684	0.136054988
48203431	0.001590767	0.136140964
48218826	0.006243833	0.136237088
48737840	0.000289899	0.136387549
48761642	0.005411226	0.136516347
48808404	0.006873307	0.136837757
48808653	0.052293456	0.136850778
48862950	0.003771479	0.137055558
48863165	0.551109154	0.137174047
48875383	0.032275346	0.137568387
49553136	0.000249804	0.137737692
49584775	0.012857074	0.138144477
50187264	0.001177523	0.138853922
50458044	0.009183482	0.141340625
50615253	0.002765826	0.141775438
50615474	1.390.804.215	0.142082806
50697563	0.003204923	0.142345895
50782097	0.000268311	0.142368576
50806407	0.000473	0.142380075
50947502	0.000737391	0.142484117
51357104	5.67E-01	0.142486441
51360322	0.00801266	0.142512225
51725970	5.34E-01	0.142514177
51901244	0.000929884	0.142677162
51904076	0.006275461	0.142694934
51904140	0.424803986	0.142722121
51904174	0.702186144	0.142745996
51909193	0.005638957	0.142774298
51926657	0.016379523	0.14306035
51926832	1.408.088.828	0.143306765
51927945	0.331230908	0.143675425
52002272	0.000164436	0.143687647
52167709	0.000194146	0.143719766
52205182	0.000591144	0.143741918
52262224	0.001264411	0.143814043
52656103	0.000465504	0.143997395
52663730	0.000645528	0.144002318
53164109	0.026710105	0.157367494
53166656	6.761.778.743	0.174589744
53648500	0.001939802	0.175524426
55066508	0.00039219	0.176080554
55287524	0.003369443	0.176825255
55287654	0.148780252	0.176844597
55288566	0.568703718	0.177363254
55288580	8.786.725.198	0.178593396
55432134	0.000294723	0.178635705
55613000	0.001488093	0.17890485
55841755	0.003942609	0.179806742
55841834	0.526843239	0.179848362
55946697	0.00106362	0.179959897
55946835	4.612.385.353	0.180596406
55968104	0.314759905	0.187291034
55968638	0.12357695	0.187357024
56116729	0.009857946	0.188816897
56194480	0.069111043	0.19419035
56301672	0.024835188	0.196852483
56303368	0.301143199	0.197363222
56310011	0.030422693	0.19756532
56310959	0.655264216	0.198186511
56311650	0.228313789	0.198344276
56319774	0.004861575	0.198383771
56321366	0.449136013	0.199098796
56321459	1.349.445.471	0.20035378
56723338	0.002920965	0.201527654
56953207	0.004004824	0.202448239
56985771	0.013084967	0.202874338
57265227	0.000337592	0.20296868
57307068	0.048730058	0.205007594
57468777	0.008012428	0.206303276
57478874	0.060564368	0.206914795
57479655	0.918315654	0.207631999
57837250	0.002709168	0.208600784
58007367	0.015190718	0.211184984
58007394	1.672.885.832	0.215701775
58201039	0.000415871	0.215782307
58295890	0.064654304	0.221914832
58303739	0.077311638	0.222521651
58303769	2.120.060.313	0.223157669
58304153	1.087.129.475	0.227332246
58304255	5.575.425.596	0.22790094
58305601	0.080858874	0.228009776
58766569	0.000217434	0.228110006
58885773	3.67E+00	0.228114376
58929210	4.38E+00	0.228116278
58929821	0.131700913	0.228196747
58981028	0.008262104	0.228619825
59125072	0.003310009	0.229096612
59177759	0.007333003	0.229482966
59236087	0.016015115	0.230417095
59261401	0.011842282	0.230716871
59403328	0.00419481	0.231312228
59403404	3.228.686.519	0.231557608
59445183	0.001292395	0.231611603
59520440	0.000589293	0.231655951
59663750	0.001090154	0.231812181
