position	COMBINED_rate(cM/Mb)	Genetic_Map(cM)
121583	0.351661075	0
175478	0.009325639	0.000502605
437208	1.74E+00	0.000507148
437672	0.418793238	0.000701468
761409	0.000385833	0.000826376
939591	0.001569588	0.001106048
1163793	0.000573686	0.00123467
1612650	0.024221949	0.012106861
1717451	0.228175497	0.036019882
1743782	0.131703448	0.039487765
1771819	0.11258611	0.042644342
1775392	4.701.119.317	0.059441441
2259927	0.000290443	0.059582171
2274063	0.821913847	0.071200745
2362124	0.069324565	0.077305536
2464067	0.005228454	0.07783854
2568114	0.009654287	0.07884304
2568122	2.726.301.131	0.081024081
2580985	0.080776468	0.082063108
2725104	0.004725216	0.082744102
2725118	6.521.351.508	0.083657091
2815835	0.014944456	0.085012807
2832278	0.345281868	0.090690277
3549228	0.000468891	0.091026448
3572445	0.024023892	0.091584211
3629307	0.010800614	0.092198356
3721765	0.009641296	0.093089771
3822710	0.010451765	0.094144824
3886505	0.025509321	0.095772191
3887589	0.114975825	0.095896825
3895011	0.016529622	0.096019508
3928601	0.022388786	0.096771547
3948374	0.034307942	0.097449918
4317208	0.000201878	0.097524378
4553298	0.000482024	0.097638179
4681805	0.00571058	0.098372028
4851523	0.003379224	0.098945543
4996604	0.000565892	0.099027643
5048441	0.000897682	0.099074177
5048824	0.346830576	0.099207013
5050102	0.076087089	0.099304252
5051572	0.030314201	0.099348814
5157690	0.000905563	0.09944491
5330920	0.000641807	0.099556091
5421809	0.006281071	0.100126971
5515254	0.00163921	0.100280147
5946753	5.09E+00	0.100302099
6010692	0.00230819	0.100449682
6017114	0.002564868	0.100466154
6098398	0.024350761	0.102445481
6278396	0.000465126	0.102529203
6415427	0.002116985	0.102819295
6598681	0.000100991	0.102837802
6943511	0.000772475	0.103104175
8281236	8.00E+00	0.10321125
8558457	0.01706272	0.107941395
8768935	0.053407873	0.119182577
9025340	0.00314054	0.119987827
9055733	0.005220282	0.120146487
9270778	0.002956217	0.120782207
9270999	0.431587094	0.120877587
9271305	0.49320027	0.121028507
9271462	1.555.440.103	0.121272711
9272495	0.457972566	0.121745796
9272810	0.661489797	0.121954166
9296905	0.02865247	0.122644547
9376833	0.003429853	0.122918688
9377259	0.107092827	0.12296431
9379692	0.106469723	0.123223351
9379875	0.056617091	0.123233711
9379884	5.472.408.654	0.123282963
9380268	0.863435149	0.123614522
9380301	0.980203307	0.123646869
9576599	0.001494123	0.123940162
9631209	0.001847775	0.124041069
10212062	0.001613126	0.124978058
10339730	0.005976633	0.125741083
10339847	25.474.725	0.128721626
10340099	1.615.913.145	0.129128836
10340256	4.281.253.289	0.129800993
10340480	1.611.064.154	0.130161871
10340676	0.637623363	0.130286845
10341806	0.177325693	0.130487223
10343232	0.10669421	0.130639369
10396445	0.000698251	0.130676525
10396503	185.434.414	0.130784077
10505697	0.000246581	0.130811002
10765972	0.000158847	0.130852346
10766398	0.138884119	0.130911511
10767532	0.200835638	0.131139259
10773884	0.008957307	0.131196155
10852080	0.002355595	0.131380354
11081163	6.16E+00	0.131394468
11081349	0.173307435	0.131426703
11085125	0.014940681	0.131483119
11085137	0.907537989	0.131494009
11085278	1.047.740.435	0.131641741
11085625	0.129632039	0.131686723
11087303	0.169025835	0.131970348
11089025	0.005224427	0.131979345
11174347	0.000474641	0.132019842
11175174	0.012177472	0.132029913
12608559	1.49E-01	0.132032056
12776731	4.71E+00	0.132039984
12783655	0.003713547	0.132065696
13356425	3.60E+00	0.132086338
13357150	0.00894368	0.132092822
13357766	0.017317827	0.13210349
13771649	8.94E-02	0.132107191
14219592	8.58E-01	0.132111034
14550842	2.40E+00	0.132118969
14775615	1.57E-02	0.132119004
14775651	0.18513257	0.132125669
14776092	0.242245912	0.132232499
14780397	0.001365616	0.132238378
15481499	0.000504886	0.132592355
16140733	0.004087063	0.135286686
16786403	0.00118993	0.136054988
16932537	0.000588338	0.136140964
18371142	6.68E+00	0.136237088
18709475	0.000444715	0.136387549
19458666	0.000171916	0.136516347
20029445	0.000563107	0.136837757
20352955	4.02E+00	0.136850778
20362789	0.020823675	0.137055558
20362887	1.209.066.001	0.137174047
20363077	2.075.474.633	0.137568387
20379761	0.010147777	0.137737692
20391613	0.034322052	0.138144477
20700395	0.002297559	0.138853922
20897824	0.01259543	0.141340625
22190676	0.000336321	0.141775438
22213990	0.013183827	0.142082806
22214093	2.554.261.541	0.142345895
24838624	8.64E-01	0.142368576
24838965	0.033720302	0.142380075
24839121	0.666937369	0.142484117
24847366	0.000281824	0.142486441
26809907	1.31E+00	0.142512225
27158611	5.60E-01	0.142514177
27852552	0.000234868	0.142677162
27940185	0.000202802	0.142694934
28602050	4.11E-01	0.142722121
28731155	0.000184922	0.142745996
28912985	0.00015565	0.142774298
29873006	0.000297964	0.14306035
29873163	1.569.525.764	0.143306765
30591766	0.000513023	0.143675425
30598326	0.00186311	0.143687647
31047078	7.16E-01	0.143719766
31193793	0.000150986	0.143741918
31440813	0.000291978	0.143814043
31444348	0.051867679	0.143997395
31645508	2.45E+00	0.144002318
31857080	0.063170815	0.157367494
32113524	0.067157939	0.174589744
32152506	0.023977266	0.175524426
32948117	0.000698995	0.176080554
33085419	0.005423816	0.176825255
33491736	4.76E+00	0.176844597
33595761	0.004985896	0.177363254
33596714	1.290.809.578	0.178593396
33596727	3.254.509.872	0.178635705
33927332	0.0008141	0.17890485
34271606	0.002619691	0.179806742
34424393	0.000272409	0.179848362
34424464	1.570.906.767	0.179959897
34589918	0.003847046	0.180596406
34592587	2.508.290.899	0.187291034
35196029	0.000109356	0.187357024
35737669	0.002695283	0.188816897
35920167	0.029443899	0.19419035
35920197	8.873.778.295	0.196852483
36021604	0.005036525	0.197363222
36206930	0.0010905	0.19756532
36244998	0.016317917	0.198186511
36480553	0.000669758	0.198344276
36543908	0.000623399	0.198383771
36544050	5.035.384.037	0.199098796
36545905	0.676541395	0.20035378
36564532	0.063020046	0.201527654
36652714	0.010439602	0.202448239
36853907	0.002117861	0.202874338
37256594	0.000234281	0.20296868
37281500	0.081864385	0.205007594
37281577	1.682.703.637	0.206303276
37282351	0.790075484	0.206914795
37384713	0.007006551	0.207631999
37703616	0.003037867	0.208600784
37987969	0.009087997	0.211184984
38030982	0.105009921	0.215701775
38102798	0.001121356	0.215782307
