position	COMBINED_rate(cM/Mb)	Genetic_Map(cM)
141850	0.351661075	0
220082	0.006424549	0.000502605
285383	6.96E+00	0.000507148
399666	0.001700341	0.000701468
495242	0.001306901	0.000826376
495260	1.553.735.145	0.001106048
625053	0.000990975	0.00123467
1031440	0.026753296	0.012106861
1031548	2.214.168.543	0.036019882
1067135	0.097448042	0.039487765
1179922	0.027987062	0.042644342
1218944	0.430452035	0.059441441
1220894	0.072169096	0.059582171
1237709	0.690964862	0.071200745
1367551	0.047017071	0.077305536
1367651	533.004.279	0.07783854
1396675	0.034609276	0.07884304
1767949	0.005874478	0.081024081
1868572	0.010325946	0.082063108
1952169	0.008146147	0.082744102
2045972	0.009733049	0.083657091
2163605	0.011524965	0.085012807
2202542	0.145811689	0.090690277
2473819	0.001239219	0.091026448
2903601	0.00129778	0.091584211
2907179	0.171644639	0.092198356
3211419	0.002929973	0.093089771
3215967	0.231981832	0.094144824
3502674	0.005676064	0.095772191
3650168	0.000845009	0.095896825
3728282	0.001570562	0.096019508
3735546	0.103529642	0.096771547
3827691	0.007361994	0.097449918
3914208	0.000860634	0.097524378
3962323	0.002365189	0.097638179
3993593	0.023468164	0.098372028
3993755	354.021.691	0.098945543
4026312	0.002521739	0.099027643
4026338	1.789.736.232	0.099074177
4235737	0.000634368	0.099207013
4336546	0.000964589	0.099304252
4354484	0.002484217	0.099348814
4441556	0.001103645	0.09944491
4456432	0.007473796	0.099556091
4742020	0.001998965	0.100126971
4843008	0.001516774	0.100280147
4911152	0.000322141	0.100302099
4918755	0.019411202	0.100449682
5026999	0.000152171	0.100466154
5069311	0.046779335	0.102445481
5311941	0.000345059	0.102529203
5312058	2.479.423.189	0.102819295
5449109	0.000135037	0.102837802
5528114	0.003371593	0.103104175
5810262	0.0003795	0.10321125
5818629	0.565333373	0.107941395
5832912	0.7870323	0.119182577
6541246	0.001136823	0.119987827
7267927	0.000218335	0.120146487
7440493	0.003683921	0.120782207
7445492	0.019079966	0.120877587
7836331	0.000386142	0.121028507
7838596	0.107816378	0.121272711
7838662	7.167.964.561	0.121745796
8101054	0.000794114	0.121954166
8454415	0.001953756	0.122644547
9092009	0.000429962	0.122918688
9226857	0.000338318	0.12296431
9320279	0.002772803	0.123223351
9550997	4.49E+00	0.123233711
9975029	0.000116151	0.123282963
9975056	1.227.996.656	0.123614522
10277914	0.000106805	0.123646869
10832890	0.000528479	0.123940162
10832976	1.173.337.016	0.124041069
10833062	1.089.521.939	0.124978058
11695077	0.000885164	0.125741083
12699036	0.002968789	0.128721626
13212735	0.000792702	0.129128836
13213033	2.255.559.619	0.129800993
13213183	2.405.855.803	0.130161871
13923286	0.000175994	0.130286845
14440357	0.000387525	0.130487223
14440360	5.071.531.435	0.130639369
15139435	5.32E+00	0.130676525
15880148	0.000145201	0.130784077
15912416	0.000834423	0.130811002
15953548	0.001005155	0.130852346
16044264	0.000652196	0.130911511
16250630	0.00110361	0.131139259
16652660	0.000141524	0.131196155
16652865	0.898527494	0.131380354
17061842	3.45E-01	0.131394468
17233898	0.000187353	0.131426703
18102670	6.49E+00	0.131483119
18395020	3.73E+00	0.131494009
19348560	0.000154929	0.131641741
19827795	9.39E+00	0.131686723
19827882	32.600.615	0.131970348
19950036	7.36E+00	0.131979345
19950249	0.190128395	0.132019842
20465382	1.95E+00	0.132029913
20914799	4.77E-01	0.132032056
21132878	3.64E-01	0.132039984
21591331	5.61E+00	0.132065696
21906383	6.55E+00	0.132086338
21989034	7.85E+00	0.132092822
23895246	5.60E-01	0.13210349
25466185	2.36E-01	0.132107191
26158842	5.55E-01	0.132111034
26162678	0.002068366	0.132118969
26163279	5.87E+00	0.132119004
28479954	2.88E-01	0.132125669
28480153	0.536836419	0.132232499
28480198	0.130643924	0.132238378
28480293	3.726.072.478	0.132592355
28480587	9.164.391.146	0.135286686
29755831	0.000602474	0.136054988
29756364	0.161306161	0.136140964
29756431	1.434.683.618	0.136237088
29758156	0.087224167	0.136387549
29758210	2.385.148.311	0.136516347
29758723	0.626529389	0.136837757
29812858	0.00024053	0.136850778
29813852	0.206016117	0.137055558
29813975	0.963320879	0.137174047
29876786	0.006278203	0.137568387
30148056	0.000624122	0.137737692
30353753	0.001977593	0.138144477
30353879	5.630.515.519	0.138853922
30362485	0.288949942	0.141340625
30367119	0.09383096	0.141775438
31977011	0.000190924	0.142082806
32229217	0.001043151	0.142345895
32311544	0.000275504	0.142368576
32544771	4.93E+00	0.142380075
32685897	0.000737229	0.142484117
32956500	8.59E-01	0.142486441
34576702	1.59E+00	0.142512225
34865887	6.75E-01	0.142514177
35379060	0.000317602	0.142677162
35553321	0.000101986	0.142694934
35649760	0.000281913	0.142722121
35650971	0.019714557	0.142745996
35651364	0.072015074	0.142774298
35651378	2.043.228.555	0.14306035
35651619	1.022.471.141	0.143306765
35731349	0.004623856	0.143675425
35922019	6.41E+00	0.143687647
36020869	0.000324927	0.143719766
36109390	0.000250245	0.143741918
36470062	0.000199973	0.143814043
36921507	0.000406145	0.143997395
37467447	9.02E-01	0.144002318
37468754	1.022.584.214	0.157367494
37469946	1.444.819.669	0.174589744
37492252	0.041902708	0.175524426
37493487	0.450306212	0.176080554
37494529	0.714684061	0.176825255
37495873	0.014390947	0.176844597
37504471	0.060323074	0.177363254
37506817	0.524357002	0.178593396
37507745	0.045591194	0.178635705
37507769	1.121.439.508	0.17890485
37835878	0.002748756	0.179806742
38210633	0.000111061	0.179848362
38286683	0.001466593	0.179959897
38462128	0.00362797	0.180596406
38462465	198.653.662	0.187291034
38687037	0.000293848	0.187357024
38687057	7.299.365.105	0.188816897
38782386	0.05636745	0.19419035
38843024	0.043902066	0.196852483
38876238	0.015377216	0.197363222
38877340	0.183391969	0.19756532
38946178	0.009023947	0.198186511
39257196	0.000507253	0.198344276
39257244	0.822821608	0.198383771
39263197	0.12011163	0.199098796
39563855	0.004174126	0.20035378
39591317	0.042745408	0.201527654
39591467	6.137.233.206	0.202448239
39591478	3.873.625.985	0.202874338
39670914	0.001187648	0.20296868
39693615	0.08981606	0.205007594
39698106	0.288506302	0.206303276
39883762	0.003293825	0.206914795
39908319	0.029205706	0.207631999
39913524	0.186125842	0.208600784
39918144	0.559350499	0.211184984
39918766	7.261.723.062	0.215701775
39918774	1.006.641.076	0.215782307
39959936	0.148985117	0.221914832
39967953	0.075691536	0.222521651
39999158	0.020381929	0.223157669
40062658	0.065741373	0.227332246
40709666	0.000878959	0.22790094
40744879	0.003090792	0.228009776
40791117	0.002167701	0.228110006
40837569	9.41E+00	0.228114376
40944732	1.78E+00	0.228116278
41087520	0.000563558	0.228196747
41088132	0.691303183	0.228619825
42305503	0.000391653	0.229096612
42427082	0.003177802	0.229482966
42460813	0.027693506	0.230417095
43102081	0.000467473	0.230716871
43102244	3.652.495.524	0.231312228
43106686	0.055240922	0.231557608
43308600	0.000267416	0.231611603
43333712	0.001766026	0.231655951
43335386	0.093327304	0.231812181
43346350	0.020308021	0.232034838
43375794	0.003334202	0.232133011
43760647	0.00089976	0.232479286
43763298	0.050871348	0.232614146
43848943	0.000635135	0.232668542
43910866	9.01E+00	0.232674121
44234462	0.000503209	0.232836958
44313623	0.001071224	0.232921757
44805688	8.30E-01	0.232925843
44889182	0.005244632	0.233363738
45220562	0.000344873	0.233478022
45224020	0.022840694	0.233557005
45237758	0.006155238	0.233641566
45364462	0.000270791	0.233675876
45452423	0.024221223	0.235806399
45631215	0.001362282	0.236049964
45631702	0.711845663	0.236396633
45632265	0.240748285	0.236532174
45632350	5.026.766.341	0.240804926
45990790	0.002710397	0.24177644
45991126	63.185.192	0.243899463
46018639	0.004215539	0.244015445
46018693	0.043067828	0.244017771
46358239	1.75E+00	0.244023718
46359102	0.014461003	0.244036198
46805752	1.90E-01	0.244037046
46877535	7.46E+00	0.244042404
47096072	6.37E+00	0.244056316
47174104	3.46E+00	0.244059016
47319799	1.23E+00	0.24406081
47472669	3.01E-01	0.244065408
47499196	0.019400833	0.244580054
47519565	0.030488869	0.245201082
48048626	5.52E+00	0.245230275
48214471	7.63E+00	0.245242932
48236149	0.011392541	0.245489899
48333994	0.007365716	0.246210598
48669101	0.002132749	0.246925297
48669299	0.281606688	0.246981055
48669473	0.1404456	0.247005493
48669487	2.210.884.537	0.250100731
48669653	0.041834377	0.250107675
48669662	1.673.699.737	0.251614005
48801168	0.002712998	0.251970781
48805250	0.10941925	0.25241743
48895181	0.001101985	0.252516533
49071663	0.032852119	0.258314341
49396213	0.001622228	0.258840835
49493916	0.001574771	0.258994695
49493924	1.935.997.551	0.259149574
49518286	0.095824069	0.26148404
49620478	0.027819348	0.264326955
49759444	0.026622263	0.268026545
49759508	1.517.722.349	0.277739968
50116413	0.091323959	0.310333945
50310526	0.014812142	0.313209174
50368198	0.101937015	0.319088086
50368441	8.732.798.083	0.321210156
50386164	0.319308041	0.326869252
50543373	0.037100765	0.332701826
51029951	0.007977204	0.336583358
51098940	0.067481994	0.341238873
51192235	0.041532895	0.345113685
51253557	0.280845582	0.362335698
51263284	0.276106215	0.365021383
51263381	1.690.034.941	0.365185316
51263417	1.273.082.324	0.365643626
51358466	0.001524304	0.365788509
51456371	0.003155954	0.366097493
51488861	0.006551683	0.366310357
52189330	0.002191298	0.367845293
52270205	0.099171517	0.37586579
52291866	0.068483798	0.377349217
52333907	0.028387645	0.378542662
52375728	0.186529012	0.386343492
52453775	0.252573014	0.406056058
52490785	0.120999781	0.41053426
52490848	6.721.842.611	0.414769021
52490868	1.383.840.369	0.414796698
52491248	0.742468425	0.415078836
52492440	1.291.351.558	0.416618127
52492677	0.239060897	0.416674784
